序號,Value,Qty(Per Board),廠牌,類型,型式,辨識備註,Connector高度(mm),腳位Pitch(mm),腳位數量,資料來源,3D預覽圖連結,Datasheet連結,封裝
1,CGA5L2C0G1H104J160AA,2,TDK,CAP,SMT,,,,,,,,1206
2,C1005X7R1E103K050BB,4,TDK,CAP,SMT,,,,,,,,0402
3,CGA3E1X7R1V474K080AC,2,TDK,CAP,SMT,,,,,,,,0603
4,C1005X7R1C104K050BC,18,TDK,CAP,SMT,,,,,,,,0402
5,C3225X7R1C226M250AC,10,TDK,CAP,SMT,,,,,,,,1210
6,GYB1V151MCQ1GS,5,Nichicon,CAP,SMT,,,,,,,,SMD Can Ø8.3 mm（非EIA）
7,C1005C0G1H101J050BA,6,TDK,CAP,SMT,,,,,,,,0402
8,C3225X7R1H475K250AB,15,TDK,CAP,SMT,,,,,,,,1210
9,C1005X7R1H104K050BB,8,TDK,CAP,SMT,,,,,,,,0402
10,C2012X7R1V475K125AC,4,TDK,CAP,SMT,,,,,,,,0805
11,C1005C0G1H102J050BA,3,TDK,CAP,SMT,,,,,,,,0402
12,UUD1H151MNL1GS,1,Nichicon,CAP,SMT,,,,,,,,SMD Can Ø10.3 mm（非EIA）
13,ADCR-X02R7SB105PT,1,Nichicon,CAP,DIP,,,,,,,,THT Radial（非EIA）
14,C2012X7R0J106K125AB,4,TDK,CAP,SMT,,,,,,,,0805
15,C1005X7S1A474K050BC,1,TDK,CAP,SMT,,,,,,,,0402
16,C1005X7R1E223K050BB,1,TDK,CAP,SMT,,,,,,,,0402
17,C1005C0G1H100D050BA,1,TDK,CAP,SMT,,,,,,,,0402
18,C1005X7R1H222K050BA,1,TDK,CAP,SMT,,,,,,,,0402
19,CC0603JRX7R9BB104,1,Yageo Group,CAP,SMT,,,,,,,,0603
20,C1005C0G1H220J050BA,1,TDK,CAP,SMT,,,,,,,,0402
21,1053141212,1,Molex,CONN,DIP,確認為 Connector；高度 9.14 mm 取 Molex 官方圖面 Front View 整體本體高度（含上方 latch）。,9.14,2.5,12,"https://www.molex.com/en-us/products/part-detail/1053141212
https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/105/105314/1053141204_sd.pdf",https://www.mouser.de/ProductDetail/Molex/105314-1212?qs=PqFvFmEiOr54XMrWL0kRSg%3D%3D,"官方產品頁：https://www.molex.com/en-us/products/part-detail/1053141212
PDF：https://datasheet.octopart.com/105314-1212-Molex-datasheet-141446421.pdf",
22,CLP-110-02-F-D,1,Samtec,CONN,SMT,確認為 Connector；高度 2.14 mm 為 Insulation Height。,2.14,1.27,20,"https://www.samtec.com/products/clp-110-02-f-d
https://www.digikey.com/en/products/detail/samtec-inc/CLP-110-02-F-D/1109825",https://www.samtec.com/products/clp-110-02-f-d,https://suddendocs.samtec.com/productspecs/clp-ftsh.pdf,
23,SSQ-110-01-L-D,1,Samtec,CONN,DIP,確認為 Connector；高度 8.51 mm 為 Insulation Height。,8.51,2.54,20,https://www.digikey.com/en/products/detail/samtec-inc/SSQ-110-01-L-D/6693011,https://www.samtec.com/products/ssq-110-01-l-d,https://suddendocs.samtec.com/catalog_english/ssq_th.pdf,
24,V8P10-M3/86A,1,Vishay,DIODE,SMT,Vishay V8P10：官方封裝 SMPC，JEDEC TO-277A。,,,,https://www.vishay.com/docs/89005/v8p10.pdf,,,SMPC (TO-277A)
25,SMF12A-E3-18,8,Vishay,TVS DIODE,SMT,Vishay SMF12A：DO-219AB，亦稱 SMF。,,,,https://www.vishay.com/en/diodes/esd-protection/do-219ab/,,,DO-219AB (SMF)
26,RB068MM-60TFTR,1,ROHM Semiconductor,DIODE,SMT,ROHM RB068MM-60TFTR：ROHM PMDU；Package Code SOD-123FL。,,,,https://www.rohm.com/products/diodes/schottky-barrier-diodes/ultra-low-ir/rb068mm-60tf-product,,,PMDU / SOD-123FL (SC-109B)
27,01530008Z,1,Littelfuse,FUSE HOLDER,DIP,"確認非 Connector；Littelfuse MINI® 153-PC 垂直型 PCB Fuse Holder（Through Hole）。
https://www.littelfuse.cn/assetdocs/mini-153-pc-datasheet?assetguid=e17755be-ccca-4a76-9579-7e7a830e5578",,,,,,,
28,TF16SN2.00TTD,1,KOA,FUS,SMT,,,,,,,,0603
29,ACM1211-102-2PL-TL01,1,TDK,MSC,SMT,,,,,https://product.tdk.com/en/search/emc/emc/line-filter/info?part_no=ACM1211-102-2PL-TL01,,,0.472 × 0.433 in（非EIA）
30,LMR51450FSQDRRRQ1,4,Texas Instruments,IC,SMT,IC 封裝依 TI LMR51450 / LMR51450-Q1 資料確認；BOM Value「LMR51450FSQDRRRQ1」疑似含 OCR/字串差異，未擅自改料號。,,,,"https://www.ti.com/product/LMR51450
https://www.ti.com/tw/lit/gpn/lmr51450",,,WSON-12 (DRR) / Pitch 0.50 mm
31,"LMR51420YDDCR,PLMR51420XDDCT",2,Texas Instruments,IC,SMT,兩個 Value 對應同一 LMR51420 系列；封裝依 DDC 6-pin 規格。原字串中的「PLMR...」保留，不擅自更改。,,,,"https://www.ti.com/product/LMR51420/part-details/LMR51420YDDCR
https://www.ti.com/lit/ml/mpds124i/mpds124i.pdf",,,SOT-23-THIN-6 (DDC) / Pitch 0.95 mm
