cell_id,lat,lon,distance_km,G_WSM,G_CMT,G_v04b_total,slab2_covered,slab2_node_count,slab2_regions,slab2_depth_km,slab2_dip_deg,slab2_strike_deg,slab2_uncertainty_km,slab2_strike_coherence,Q_slab,A_slab,G_slab,G_v04c_total,T13_exact_none_%,T18_exact_none_%,T13_ever_none_%,T18_ever_none_%,T13_first_none_%,T18_first_none_%,T13_exact_v03_%,T18_exact_v03_%,T13_ever_v03_%,T18_ever_v03_%,T13_first_v03_%,T18_first_v03_%,T13_exact_v04a_%,T18_exact_v04a_%,T13_ever_v04a_%,T18_ever_v04a_%,T13_first_v04a_%,T18_first_v04a_%,T13_exact_v04b_%,T18_exact_v04b_%,T13_ever_v04b_%,T18_ever_v04b_%,T13_first_v04b_%,T18_first_v04b_%,T13_exact_v04c_%,T18_exact_v04c_%,T13_ever_v04c_%,T18_ever_v04c_%,T13_first_v04c_%,T18_first_v04c_%,DeltaEver_v04c_vs_v04b_T18_pp,DeltaExact_v04c_vs_v04b_T18_pp,Rank_first_v04c_T18,Rank_ever_v04c_T18
0,-57.5,-177.5,11124.825946233463,1.1103994093899012,1.0,1.1103994093899012,False,0,,,,,,0.0,0.0,0.5,1.0,1.1103994093899012,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,818,918
1,-57.5,-172.5,11332.953071394806,1.078190094863802,1.0,1.078190094863802,False,0,,,,,,0.0,0.0,0.5,1.0,1.078190094863802,0.0,0.04,0.02,0.08,0.02,0.05,0.0,0.05,0.02,0.1,0.02,0.06,0.0,0.05,0.02,0.1,0.02,0.06,0.0,0.05,0.02,0.1,0.02,0.06,0.0,0.05,0.02,0.1,0.02,0.06,0.0,0.0,240,83
2,-57.5,-167.5,11554.904231721755,1.069558434688545,1.0,1.069558434688545,False,0,,,,,,0.0,0.0,0.5,1.0,1.069558434688545,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.0,526,618
3,-57.5,-162.5,11789.577093409838,1.085113422495883,1.0,1.085113422495883,False,0,,,,,,0.0,0.0,0.5,1.0,1.085113422495883,0.0,0.03,0.0,0.1,0.0,0.08,0.0,0.05,0.0,0.12,0.0,0.1,0.0,0.05,0.0,0.12,0.0,0.1,0.0,0.05,0.0,0.12,0.0,0.1,0.0,0.05,0.0,0.12,0.0,0.1,0.0,0.0,13,18
4,-57.5,-157.5,12035.862474628648,1.105243739061074,1.0,1.105243739061074,False,0,,,,,,0.0,0.0,0.5,1.0,1.105243739061074,0.0,0.04,0.01,0.08,0.01,0.04,0.0,0.04,0.01,0.08,0.01,0.04,0.0,0.04,0.01,0.08,0.01,0.04,0.0,0.04,0.01,0.08,0.01,0.04,0.0,0.04,0.01,0.08,0.01,0.04,0.0,0.0,526,221
5,-57.5,-152.5,12292.647799265778,1.105305820769323,1.0,1.105305820769323,False,0,,,,,,0.0,0.0,0.5,1.0,1.105305820769323,0.01,0.01,0.02,0.06,0.02,0.06,0.01,0.02,0.02,0.07,0.02,0.07,0.01,0.02,0.02,0.07,0.02,0.07,0.01,0.02,0.02,0.07,0.02,0.07,0.01,0.02,0.02,0.07,0.02,0.07,0.0,0.0,135,339
6,-57.5,-147.5,12558.81725172667,1.0859617707278522,1.0,1.0859617707278522,False,0,,,,,,0.0,0.0,0.5,1.0,1.0859617707278522,0.0,0.03,0.0,0.05,0.0,0.03,0.0,0.03,0.0,0.05,0.0,0.04,0.0,0.03,0.0,0.05,0.0,0.04,0.0,0.03,0.0,0.05,0.0,0.04,0.0,0.03,0.0,0.05,0.0,0.04,0.0,0.0,526,618
7,-57.5,-142.5,12833.24852254519,1.0575072681332889,1.0,1.0575072681332889,False,0,,,,,,0.0,0.0,0.5,1.0,1.0575072681332889,0.01,0.02,0.03,0.06,0.03,0.05,0.01,0.01,0.03,0.06,0.03,0.05,0.01,0.01,0.03,0.06,0.03,0.05,0.01,0.01,0.03,0.06,0.03,0.05,0.01,0.01,0.03,0.06,0.03,0.05,0.0,0.0,366,472
8,-57.5,-137.5,13114.805953329425,1.0260415324107834,1.0,1.0260415324107834,False,0,,,,,,0.0,0.0,0.5,1.0,1.0260415324107834,0.0,0.03,0.01,0.1,0.01,0.07,0.0,0.03,0.01,0.1,0.01,0.07,0.0,0.03,0.01,0.1,0.01,0.07,0.0,0.03,0.01,0.1,0.01,0.07,0.0,0.03,0.01,0.1,0.01,0.07,0.0,0.0,135,83
9,-57.5,-132.5,13402.32974842689,0.9981863841072924,1.0,0.9981863841072924,False,0,,,,,,0.0,0.0,0.5,1.0,0.9981863841072924,0.02,0.05,0.03,0.08,0.02,0.05,0.02,0.05,0.03,0.08,0.02,0.05,0.02,0.05,0.03,0.08,0.02,0.05,0.02,0.05,0.03,0.08,0.02,0.05,0.02,0.05,0.03,0.08,0.02,0.05,0.0,0.0,366,221
